run_id,sequence,task_id,model_requested,model_returned,repetition,score,score_percent,pass,critical_failure,latency_ms,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd
T02__gpt-5.6-sol__r3,17,T02,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,2681,254,0,0,131,70,0.0052
T02__gpt-5.6-terra__r3,18,T02,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,2172,254,0,0,131,70,0.00208
T03__gpt-5.6-sol__r1,19,T03,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,5310,257,0,0,250,138,0.008785
T03__gpt-5.6-terra__r1,20,T03,gpt-5.6-terra,gpt-5.6-terra,1,2,40,false,false,4638,257,0,0,394,294,0.005242
T03__gpt-5.6-luna__r1,21,T03,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,7389,257,0,0,727,615,0.0009237999999999999
T03__gpt-5.6-terra__r2,22,T03,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,3607,257,0,0,331,219,0.004486
T03__gpt-5.6-luna__r2,23,T03,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,4183,257,0,0,419,307,0.0005541999999999999
T03__gpt-5.6-sol__r2,24,T03,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,4935,257,0,0,249,137,0.008755
T03__gpt-5.6-luna__r3,25,T03,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,6031,257,0,0,576,464,0.0007425999999999999
T03__gpt-5.6-sol__r3,26,T03,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,7984,257,0,0,334,222,0.011305
T03__gpt-5.6-terra__r3,27,T03,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,3134,257,0,0,299,187,0.004102
T04__gpt-5.6-sol__r1,28,T04,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,2741,291,0,0,185,0,0.007005
T04__gpt-5.6-terra__r1,29,T04,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,1726,291,0,0,185,0,0.002802
T04__gpt-5.6-luna__r1,30,T04,gpt-5.6-luna,gpt-5.6-luna,1,4,80,true,false,2043,291,0,0,187,0,0.00028260000000000004
T04__gpt-5.6-terra__r2,31,T04,gpt-5.6-terra,gpt-5.6-terra,2,4,80,true,false,4175,291,0,0,187,0,0.002826
T04__gpt-5.6-luna__r2,32,T04,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,2542,291,0,0,261,74,0.0003714
T04__gpt-5.6-sol__r2,33,T04,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,2221,291,0,0,185,0,0.007005
T04__gpt-5.6-luna__r3,34,T04,gpt-5.6-luna,gpt-5.6-luna,3,4,80,true,false,1747,291,0,0,187,0,0.00028260000000000004
T04__gpt-5.6-sol__r3,35,T04,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,3855,291,0,0,185,0,0.007005
T04__gpt-5.6-terra__r3,36,T04,gpt-5.6-terra,gpt-5.6-terra,3,4,80,true,false,3272,291,0,0,261,72,0.003714
T05__gpt-5.6-sol__r1,37,T05,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,2316,375,0,0,118,0,0.005415
T05__gpt-5.6-terra__r1,38,T05,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,1476,375,0,0,118,0,0.002166
T05__gpt-5.6-luna__r1,39,T05,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,2708,375,0,0,191,71,0.00030419999999999997
T05__gpt-5.6-terra__r2,40,T05,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,2078,375,0,0,163,43,0.002706
T05__gpt-5.6-luna__r2,41,T05,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,2900,375,0,0,198,78,0.0003126
T05__gpt-5.6-sol__r2,42,T05,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,2004,375,0,0,118,0,0.005415
T05__gpt-5.6-luna__r3,43,T05,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,2344,375,0,0,200,80,0.000315
T05__gpt-5.6-sol__r3,44,T05,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,2728,375,0,0,118,0,0.005415
T05__gpt-5.6-terra__r3,45,T05,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,1513,375,0,0,118,0,0.002166
T06__gpt-5.6-sol__r1,46,T06,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,4263,357,0,0,212,143,0.008145
T06__gpt-5.6-terra__r1,47,T06,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,4514,357,0,0,329,263,0.004662
T06__gpt-5.6-luna__r1,48,T06,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,3891,357,0,0,324,256,0.0004602
T06__gpt-5.6-terra__r2,49,T06,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,4366,357,0,0,319,249,0.004542
T06__gpt-5.6-luna__r2,50,T06,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,3671,357,0,0,307,241,0.00043979999999999996
T06__gpt-5.6-sol__r2,51,T06,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,5570,357,0,0,280,216,0.010185
T06__gpt-5.6-luna__r3,52,T06,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,3864,357,0,0,324,252,0.0004602
T06__gpt-5.6-sol__r3,53,T06,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,6690,357,0,0,240,179,0.008985
T06__gpt-5.6-terra__r3,54,T06,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,3549,357,0,0,255,189,0.003774
T07__gpt-5.6-sol__r1,55,T07,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,1877,178,0,0,39,0,0.00206
T07__gpt-5.6-terra__r1,56,T07,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,1833,178,0,0,39,0,0.000824
T07__gpt-5.6-luna__r1,57,T07,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,1235,178,0,0,39,0,0.00008240000000000001
T07__gpt-5.6-terra__r2,58,T07,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,1189,178,0,0,39,0,0.000824
T07__gpt-5.6-luna__r2,59,T07,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,876,178,0,0,39,0,0.00008240000000000001
T07__gpt-5.6-sol__r2,60,T07,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,1602,178,0,0,39,0,0.00206
T07__gpt-5.6-luna__r3,61,T07,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,946,178,0,0,39,0,0.00008240000000000001
T07__gpt-5.6-sol__r3,62,T07,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,1345,178,0,0,39,0,0.00206
T07__gpt-5.6-terra__r3,63,T07,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,1090,178,0,0,39,0,0.000824
T08__gpt-5.6-sol__r1,64,T08,gpt-5.6-sol,gpt-5.6-sol,1,4,80,true,false,1878,416,0,0,36,0,0.00316
T08__gpt-5.6-terra__r1,65,T08,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,2057,416,0,0,103,65,0.002068
T08__gpt-5.6-luna__r1,66,T08,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,2621,416,0,0,143,105,0.0002548
T08__gpt-5.6-terra__r2,67,T08,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,2000,416,0,0,124,86,0.00232
T08__gpt-5.6-luna__r2,68,T08,gpt-5.6-luna,gpt-5.6-luna,2,4,80,true,false,2105,416,0,0,139,101,0.00025
T08__gpt-5.6-sol__r2,69,T08,gpt-5.6-sol,gpt-5.6-sol,2,4,80,true,false,3036,416,0,0,36,0,0.00316
T08__gpt-5.6-luna__r3,70,T08,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,2308,416,0,0,149,111,0.000262
T08__gpt-5.6-sol__r3,71,T08,gpt-5.6-sol,gpt-5.6-sol,3,4,80,true,false,3830,416,0,0,36,0,0.00316
T08__gpt-5.6-terra__r3,72,T08,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,1896,416,0,0,123,85,0.002308
T09__gpt-5.6-sol__r1,73,T09,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,1853,273,0,0,96,0,0.004245
T09__gpt-5.6-terra__r1,74,T09,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,2418,273,0,0,189,91,0.002814
T09__gpt-5.6-luna__r1,75,T09,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,2926,273,0,0,209,111,0.0003054
T09__gpt-5.6-terra__r2,76,T09,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,2825,273,0,0,214,116,0.003114
T09__gpt-5.6-luna__r2,77,T09,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,2209,273,0,0,208,110,0.00030419999999999997
T09__gpt-5.6-sol__r2,78,T09,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,1785,273,0,0,96,0,0.004245
T09__gpt-5.6-luna__r3,79,T09,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,2618,273,0,0,214,116,0.00031140000000000003
T09__gpt-5.6-sol__r3,80,T09,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,2360,273,0,0,96,0,0.004245
T09__gpt-5.6-terra__r3,81,T09,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,2544,273,0,0,168,70,0.002562
T10__gpt-5.6-sol__r1,82,T10,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,2075,345,0,0,120,0,0.005325
T10__gpt-5.6-terra__r1,83,T10,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,1446,345,0,0,120,0,0.00213
T10__gpt-5.6-luna__r1,84,T10,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,2488,345,0,0,179,57,0.00028379999999999996
T10__gpt-5.6-terra__r2,85,T10,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,1622,345,0,0,120,0,0.00213
T10__gpt-5.6-luna__r2,86,T10,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,1992,345,0,0,189,67,0.0002958
T10__gpt-5.6-sol__r2,87,T10,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,2388,345,0,0,120,0,0.005325
T10__gpt-5.6-luna__r3,88,T10,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,2155,345,0,0,186,64,0.0002922
T10__gpt-5.6-sol__r3,89,T10,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,3136,345,0,0,120,0,0.005325
T10__gpt-5.6-terra__r3,90,T10,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,1472,345,0,0,120,0,0.00213
T11__gpt-5.6-sol__r1,91,T11,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,2019,243,0,0,47,0,0.002625
T11__gpt-5.6-terra__r1,92,T11,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,1181,243,0,0,47,0,0.00105
T11__gpt-5.6-luna__r1,93,T11,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,1550,243,0,0,77,28,0.000141
T11__gpt-5.6-terra__r2,94,T11,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,1229,243,0,0,47,0,0.00105
T11__gpt-5.6-luna__r2,95,T11,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,1076,243,0,0,47,0,0.000105
T11__gpt-5.6-sol__r2,96,T11,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,2839,243,0,0,47,0,0.002625
T11__gpt-5.6-luna__r3,97,T11,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,1221,243,0,0,47,0,0.000105
T11__gpt-5.6-sol__r3,98,T11,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,1744,243,0,0,47,0,0.002625
T11__gpt-5.6-terra__r3,99,T11,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,1261,243,0,0,47,0,0.00105
T12__gpt-5.6-sol__r1,100,T12,gpt-5.6-sol,gpt-5.6-sol,1,5,100,true,false,3266,271,0,0,216,101,0.007835
T12__gpt-5.6-terra__r1,101,T12,gpt-5.6-terra,gpt-5.6-terra,1,5,100,true,false,2270,271,0,0,200,85,0.002942
T12__gpt-5.6-luna__r1,102,T12,gpt-5.6-luna,gpt-5.6-luna,1,5,100,true,false,2687,271,0,0,206,91,0.00030139999999999995
T12__gpt-5.6-terra__r2,103,T12,gpt-5.6-terra,gpt-5.6-terra,2,5,100,true,false,2582,271,0,0,229,114,0.00329
T12__gpt-5.6-luna__r2,104,T12,gpt-5.6-luna,gpt-5.6-luna,2,5,100,true,false,2769,271,0,0,256,141,0.0003614
T12__gpt-5.6-sol__r2,105,T12,gpt-5.6-sol,gpt-5.6-sol,2,5,100,true,false,2560,271,0,0,210,95,0.007655
T12__gpt-5.6-luna__r3,106,T12,gpt-5.6-luna,gpt-5.6-luna,3,5,100,true,false,2170,271,0,0,221,106,0.00031939999999999996
T12__gpt-5.6-sol__r3,107,T12,gpt-5.6-sol,gpt-5.6-sol,3,5,100,true,false,4082,271,0,0,222,107,0.008015
T12__gpt-5.6-terra__r3,108,T12,gpt-5.6-terra,gpt-5.6-terra,3,5,100,true,false,2964,271,0,0,225,110,0.003242
